Designator,Mid X,Mid Y,Layer,Rotation
C1,137.6399,-102.2845,top,180.0000
D1,153.4449,-75.4895,top,90.0000
D2,156.7549,-75.7295,top,80.0000
D3,160.0849,-76.5495,top,70.0000
D4,163.2149,-77.9495,top,60.0000
D5,166.0649,-79.8495,top,50.0000
D6,168.5249,-82.2095,top,40.0000
D7,170.5700,-84.9825,top,30.0000
D8,172.0906,-88.0495,top,20.0000
D9,173.0849,-91.3495,top,10.0000
D10,173.4649,-94.7695,top,0.0000
D11,173.2449,-98.1995,top,-10.0000
D12,172.4349,-101.5795,top,-20.0000
D13,171.0849,-104.7295,top,-30.0000
D14,169.1849,-107.6295,top,-40.0000
D15,166.7649,-110.1595,top,-50.0000
D16,163.9949,-112.1995,top,-60.0000
D17,160.8749,-113.7595,top,-70.0000
D18,157.5349,-114.7395,top,-80.0000
D19,154.0749,-115.1095,top,-90.0000
D20,153.6749,-85.0195,top,90.0000
D21,156.6449,-85.4595,top,73.2000
D22,159.2949,-86.6995,top,56.4000
D23,161.4749,-88.6095,top,39.6000
D24,163.0249,-91.0695,top,22.8000
D25,163.8449,-93.8095,top,6.0000
D26,163.8549,-96.6595,top,-10.8000
D27,163.0749,-99.4195,top,-27.6000
D28,161.5849,-101.8295,top,-44.4000
D29,159.4349,-103.7895,top,-61.2000
D30,156.8149,-105.0695,top,-78.0000
D31,153.8949,-105.5995,top,-94.8000
D32,153.8149,-91.2095,top,90.0000
D33,156.3649,-92.2295,top,45.0000
D34,157.7449,-95.2795,top,0.0000
D35,156.5749,-98.1595,top,-45.0000
D36,153.7949,-99.3995,top,-90.0000
R1,137.9249,-84.4995,top,180.0000
R2,137.9349,-86.2695,top,0.0000
R3,137.9549,-88.0395,top,0.0000
U1,142.6249,-95.0695,top,90.0000
